pergunta;resposta_certa;resposta_errada1;resposta_errada2;nivel;tema
Quem foi o primeiro presidente do Brasil?;Deodoro da Fonseca;Getúlio Vargas;Dom Pedro II;fácil;história
Em que ano o Brasil se tornou independente?;1822;1889;1500;fácil;história
Quem descobriu o Brasil?;Pedro Álvares Cabral;Cristóvão Colombo;Vasco da Gama;fácil;história
Qual era o nome do império que governava o Brasil antes da independência?;Império Português;Império Espanhol;Império Romano;fácil;história
Qual foi o principal produto explorado pelos portugueses no Brasil colonial?;Açúcar;Café;Ouro;fácil;história
Quem foi o líder da Inconfidência Mineira?;Tiradentes;Dom Pedro I;José Bonifácio;médio;história
Qual país foi o principal colonizador da África no século XIX?;Reino Unido;França;Alemanha;médio;história
Em que ano ocorreu a Revolução Francesa?;1789;1776;1804;médio;história
O que marcou o fim da Idade Média?;Queda de Constantinopla;Descobrimento da América;Reforma Protestante;médio;história
Quem foi o primeiro imperador do Brasil?;Dom Pedro I;Dom Pedro II;Deodoro da Fonseca;médio;história
Qual tratado dividiu o mundo entre Portugal e Espanha em 1494?;Tratado de Tordesilhas;Tratado de Utrecht;Tratado de Versalhes;difícil;história
Qual foi a principal causa da Guerra dos Cem Anos?;Disputa pelo trono da França;Conflitos religiosos;Conquista de territórios africanos;difícil;história
Quem foi o líder soviético durante a Segunda Guerra Mundial?;Josef Stalin;Leon Trotsky;Nikita Khrushchev;difícil;história
Qual era o nome da operação de invasão da Normandia pelos Aliados em 1944?;Operação Overlord;Operação Barbarossa;Operação Market Garden;difícil;história
Qual cidade italiana foi centro do Renascimento?;Florença;Roma;Milão;difícil;história
Qual evento iniciou a Primeira Guerra Mundial?;Assassinato do arquiduque Francisco Ferdinando;Invasão da Polônia;Revolução Russa;difícil;história
Quem proclamou a independência do Brasil?;Dom Pedro I;Tiradentes;Dom João VI;fácil;história
Qual era o nome da capital do Brasil antes de Brasília?;Rio de Janeiro;Salvador;Belo Horizonte;fácil;história
Qual revolta marcou o início da resistência indígena à colonização portuguesa?;Confederação dos Tamoios;Revolta dos Beckman;Revolta de Vila Rica;médio;história
Qual era o nome do navio onde Dom João VI fugiu para o Brasil?;Medusa;Príncipe Real;Esperança;difícil;história
Qual é a capital da França?;Paris;Londres;Roma;fácil;geografia
Qual é o maior continente?;Ásia;América;África;fácil;geografia
Qual é o maior oceano do mundo?;Oceano Pacífico;Oceano Atlântico;Oceano Índico;fácil;geografia
Em que continente fica o Egito?;África;Ásia;Europa;fácil;geografia
Qual é o maior país do mundo?;Rússia;China;Canadá;fácil;geografia
Qual é o maior deserto do mundo?;Deserto do Saara;Deserto da Arábia;Deserto de Gobi;médio;geografia
Onde fica a cidade de Machu Picchu?;Peru;Chile;Argentina;médio;geografia
Qual é o maior rio do mundo?;Rio Amazonas;Rio Nilo;Rio Yangtsé;médio;geografia
Qual é a capital da Austrália?;Canberra;Sidney;Melbourne;médio;geografia
Qual é o país mais populoso do mundo?;China;Índia;Estados Unidos;médio;geografia
Onde está localizada a Grande Muralha da China?;China;Coréia do Norte;Japão;médio;geografia
Qual país tem a maior quantidade de ilhas?;Suécia;Grécia;Indonésia;difícil;geografia
Em que continente está localizado o Deserto de Atacama?;América do Sul;África;Ásia;difícil;geografia
